edition,source_file,row_id,team_name,demand_text,level_1,level_2,normalized_scenario,user_role_guess,problem_type,request_type,strategic_relevance,decision_bucket,data_quality,notes,quality_reasons,exact_duplicate_flag,exact_duplicate_count
personal,WPS项目管理个人版需求聚类分析.md,personal-00054,樱子的团队,跟踪项目执行情况,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00055,我超级无敌爱学习的团队,项目管理及进度跟踪,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00056,偏执的团队,我想做一份检验指导书,质量、安全与合规,质量检查与检验,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00057,zita的团队,项目管理混乱,项目与任务管理,项目台账管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00058,Aiden的团队,管理长线项目和提醒个人待办,协同办公与流程审批,待办与提醒管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00059,王爱平的团队,我想要一个安全检查的模板,质量、安全与合规,质量与安全管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00060,my name is sunny 的团队,汽车行业的项目预算,财务、合同与结算,预算管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00061,小布的团队,政府采购项目实施,供应链与仓储物流,采购流程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00062,翠儿的团队,二级货代公司与客户签订货物运输代理协议后的管控,客户、销售与订单,发货与交付跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00063,杨依霖的团队,纪委的工作计划表,党建纪检与党务管理,党建纪检与党务管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00064,柳得帅的团队,好好,无,无,,,,,,,weak,,missing_level_1|missing_level_2|very_short_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00065,芊千的团队,施工进度,工程与施工管理,工程进度管理,,,,,,,valid,,,yes,5
personal,WPS项目管理个人版需求聚类分析.md,personal-00066,。的团队,团队协作,项目与任务管理,任务分配与协同,,,,,,,valid,,,yes,3
personal,WPS项目管理个人版需求聚类分析.md,personal-00067,Mercury的团队,我负责对我们部门新药引进的工作进行抓取，但是信息很多很杂，且后续的每个人抓取内容也不同，用什么方式整理收集信息比较好呢,人力与组织管理,员工信息管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00068,长安的团队,文件传阅登记台账,协同办公与流程审批,台账与登记管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00069,+1的团队,多个项目并行管理,项目与任务管理,多项目组合管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00070,爱四月的团队,做一个物品领用表,协同办公与流程审批,台账与登记管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00071,择一城终老 遇一人白首的团队,控制盘柜接线表生成,协同办公与流程审批,台账与登记管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00072,WPS_1714135302的团队,热土,无,无,,,,,,,weak,,missing_level_1|missing_level_2|very_short_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00073,真嘟假嘟的团队,生产订单合同收付款管理,财务、合同与结算,应收应付与合同结算管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00074,付万锵的团队,111,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|no_chinese_text,yes,59
personal,WPS项目管理个人版需求聚类分析.md,personal-00075,八二年的沙雕的团队,管理NPI项目,项目与任务管理,项目台账管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00076,秋夜的团队,内河纯电力推进集装箱船舶的项目管理，从设计到设备采购到生产建造到调试到取证到交付,生产与制造管理,生产交付协同,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00077,A小懒虫的团队,专业模具厂采购项目,生产与制造管理,生产交付协同,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00078,吃冰淇淋吗的团队,1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00079,柠檬的团队,项目跟进表,项目与任务管理,甘特图与排期可视化,,,,,,,valid,,,yes,2
personal,WPS项目管理个人版需求聚类分析.md,personal-00080,Yshion的团队,GA,无,无,,,,,,,weak,,missing_level_1|missing_level_2|very_short_text|no_chinese_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00081,终北的团队,我希望给项目组里的成员每天根据不同的需求分配不同的任务,项目与任务管理,任务分配与协同,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00082,尴尬症患者的团队,部门内项目管理，及人员在各个项目的投入情况,项目与任务管理,项目台账管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00083,WPS_1773899003的团队,项目全流程管理系统,项目与任务管理,项目台账管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00084,洛的团队,销售易CRM项目管理,客户、销售与订单,商机与销售过程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00085,槐序十三的团队,管理多任务项目进度,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00086,鲁卫民的团队,市政工程,工程与施工管理,基建与市政项目管理,,,,,,,valid,,,yes,2
personal,WPS项目管理个人版需求聚类分析.md,personal-00087,jdan的团队,1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00088,裴怀全的团队,高校教务处教学建设科工作,教育教务与学习管理,教育教务与学习管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00089,刘悦怡的团队,日常工作规划,生产与制造管理,车间任务管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00090,baihong的团队,1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00091,逄「Páng」燃「Rán」的团队,室内装修工程项目，根据已确定的施工图纸，AI辅助预算、自动化施工进度计划、项目施工各节点验收标准（质量控制）、形象工程管理、客户档案,质量、安全与合规,质量与安全管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00092,想吃茶蛋的团队,不同美妆品牌客户做各种项目的渲染图,工程与施工管理,装修装饰项目管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00093,矗立到天黑的团队,已录入,无,无,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00094,林糍心的团队,新项目导入计划,项目与任务管理,项目计划管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00095,test的团队,近期零星事项的工作进度,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00096,李慎宁的团队,项目DDL，把控，反馈收集,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00097,靳瑞的团队,根据个人工作日志，生成日报、周报并定时发送,个人规划与日程管理,个人规划与日程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00098,乐君丶的团队,域控高压多合一控制器零部件开发项目管理,研发与产品管理,产品开发管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00099,竹林深处、的团队,施工,工程与施工管理,工程进度管理,,,,,,,weak,,very_short_text,yes,6
personal,WPS项目管理个人版需求聚类分析.md,personal-00100,Vher的团队,施工,工程与施工管理,工程进度管理,,,,,,,weak,,very_short_text,yes,6
personal,WPS项目管理个人版需求聚类分析.md,personal-00101,何洪的团队,餐厅管理,客户、销售与订单,电商与门店运营,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00102,一半憂傷i的团队,好,无,无,,,,,,,weak,,missing_level_1|missing_level_2|very_short_text,yes,4
personal,WPS项目管理个人版需求聚类分析.md,personal-00103,空白。的团队,我是室内设计行业，只做工装，帮我生成所有员工项目的跟进管理情况，包含项目名称，设计师，量房日期，碰方案时间，碰预算时间，项目进度，项目重点，跟进记录等。保证每个项目的进度是完整的,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00104,茶里粼的团队,项目实施进程,研发与产品管理,研发项目管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00105,听环佩铿锵的团队,森林抚育作业设计,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00106,LJS的团队,学业,教育教务与学习管理,教育教务与学习管理,,,,,,,weak,,very_short_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00107,杨朔的团队,项目管理,项目与任务管理,项目台账管理,,,,,,,valid,,,yes,398
personal,WPS项目管理个人版需求聚类分析.md,personal-00108,汪亮的团队,办公,协同办公与流程审批,行政事务管理,,,,,,,weak,,very_short_text,yes,12
personal,WPS项目管理个人版需求聚类分析.md,personal-00109,Suerte的团队,我需要一个可以跟踪供应商开发进度的表,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00110,Jan的团队,绘制施工网络图,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00111,"执念,爱的团队",1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00112,王伟的团队,工程项目管理,工程与施工管理,工程进度管理,,,,,,,valid,,,yes,50
personal,WPS项目管理个人版需求聚类分析.md,personal-00113,Rachel的团队,会议任务及派发任务进度表,会议活动与会务执行,会议活动与会务执行,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00114,物极必反.的团队,任务管理,项目与任务管理,任务分配与协同,,,,,,,valid,,,yes,25
personal,WPS项目管理个人版需求聚类分析.md,personal-00115,Pazzo的团队,业务管理,协同办公与流程审批,行政事务管理,,,,,,,valid,,,yes,4
personal,WPS项目管理个人版需求聚类分析.md,personal-00116,家有小虎的团队,工作任务管理,生产与制造管理,车间任务管理,,,,,,,valid,,,yes,5
personal,WPS项目管理个人版需求聚类分析.md,personal-00117,将夜1396193175的团队,市政工程项目,工程与施工管理,基建与市政项目管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00118,LLLLM的团队,解决日常工作 流程问题,生产与制造管理,车间任务管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00119,张炯垚的团队,工作安排,生产与制造管理,车间任务管理,,,,,,,valid,,,yes,11
personal,WPS项目管理个人版需求聚类分析.md,personal-00120,岁月无声的团队,检修工期控制,协同办公与流程审批,待办与提醒管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00121,G0.勇男(承珉)的团队,项目管理 日程管理,个人规划与日程管理,个人规划与日程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00122,锦荣的团队,企业家大会暨新春团拜会,会议活动与会务执行,会议活动与会务执行,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00123,wwwwww的团队,食堂外卖分拣点整改优化工程进度表,质量、安全与合规,质量与安全管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00124,杜洋的团队,任务进度完成情况,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00125,WPS_1741011607的团队,过滤水杯产品开发项目进度管理跟踪,研发与产品管理,产品开发管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00126,邵文斌的团队,xiangmuguanl,无,无,,,,,,,weak,,missing_level_1|missing_level_2|no_chinese_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00127,孟楠的团队,产品开发测试进度管理,研发与产品管理,产品开发管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00128,七七视界的团队,单位组织员工外出，统一购买火车票后，员工自行退换票，我需要在收到员工退换票信息后，自动更新人员信息,会议活动与会务执行,会议活动与会务执行,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00129,,表、座次表。,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00130,你猜猜的团队,装饰装修,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00131,宋丙的团队,需要有项目进度计划表，甘特图，资源日历，责任分配矩阵，,项目与任务管理,甘特图与排期可视化,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00132,潘丽香的团队,项目信息跟踪,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00133,武霞的团队,项目进度管理,项目与任务管理,项目进度跟踪,,,,,,,valid,,,yes,58
personal,WPS项目管理个人版需求聚类分析.md,personal-00134,卢玲的团队,统计项目进度,数据分析与经营看板,统计汇总与经营分析,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00135,佳佳  的团队,我是一家担保公司的业务负责人，我想持续跟进贷款客户的情况。,客户、销售与订单,客户跟进管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00136,小聂同学的团队,HJGBJG,无,无,,,,,,,weak,,missing_level_1|missing_level_2|no_chinese_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00137,多肉植物的团队,1.医务人员通过收集表链接或二维码填写新技术的名称、项目简介、区域内开展情况、可行性分析、风险评估及应急处理等及附件上传；2.完成填写后，信息同步到多维表格，在多维表格内可进行导出操作；3.对项目是否开展设计评审流程、需要5个专家进行投票、若不通过需重新提交或修改收集表，若通过可转下一个流程；4.通过后，提醒项目管理者对项目进行为期1年的周期管理，以项目通过日期为开始日期，开始后3个月填写追踪评估表（内容为开展例数、并发症情况、是否继续开展等）、填写后半年再填写一次，这时若例数小于20例，无需提示，继续按半年一次；若大于20例，即提示，可申请转常规技术管理并结束流程。完成项目管理。,质量、安全与合规,质量与安全管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00138,Jiali Wang (Willa)的团队,无法合理安排工作时间，配音书籍任务过多,个人规划与日程管理,个人规划与日程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00139,吴晶东的团队,建筑行业,工程与施工管理,工程进度管理,,,,,,,valid,,,yes,5
personal,WPS项目管理个人版需求聚类分析.md,personal-00140,环保@金的团队,环保设备安装工程,环保与环评管理,环保与环评管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00141,上官俊鹏的团队,银行批量诉讼管理,法务案件与诉讼管理,法务案件与诉讼管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00142,十二的团队,我有五个岗位 分别是 研磨 一次端检 测试 3D 通pin孔 二次端检 我想统计没人的实际产量 和目标产量 和每一个岗位的不良率,数据分析与经营看板,统计汇总与经营分析,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00143,one的团队,规范化,质量、安全与合规,验收与履约合规,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00144,睡了未醒的团队,项目管理,项目与任务管理,项目台账管理,,,,,,,valid,,,yes,398
personal,WPS项目管理个人版需求聚类分析.md,personal-00145,DreamRiver的团队,每日工作内容+工作结果+总结,生产与制造管理,车间任务管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00146,kuo的团队,zh,无,无,,,,,,,weak,,missing_level_1|missing_level_2|very_short_text|no_chinese_text,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00147,Beelzeble的团队,快速了解本地区投资结构、月度投资情况及项目进度,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00148,微微微微微依的团队,软件开发进度管理,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00149,王美丽的团队,项目进度安排,项目与任务管理,项目进度跟踪,,,,,,,valid,,,yes,5
personal,WPS项目管理个人版需求聚类分析.md,personal-00150,Zhou H.的团队,部门团队管理,人力与组织管理,组织与岗位管理,,,,,,,valid,,,no,1
